username,tanggal,sentimen,tweet
SatbrimobdaGor1,3/7/2022 22:00,netral,personil satbrimob polda gorontalo laku aman ketat gudang simpan vaksin covid 19 pasti aman
arief_us,3/7/2022 21:51,netral,flashnews luhut binsar pandjaitan menteri koordinator bidang maritim investasi perintah hapus syarat tes covid 19 polymerase chain reaction antigen laku jalan darat laut udara rute domestik terima vaksin corona dosis lengkap
Lamana18290144,3/7/2022 21:33,netral,kodim 0727 karanganyar senin tanggal 7 2 2022 09 00 wib serda imam maulidin babinsa desa karang anggota koramil 06 karangpandan melaks damping vaksinasi covid 19 vaksin 3 boster jenis vaksin prizer puskesmas karangpandan balai desa karang kec karangpandan
LatifAbdulah3,3/7/2022 21:28,negatif,vaksin covid 19 sebab mutasi varian covid 19
NGiskos,3/7/2022 21:26,negatif,covid covid jahanam alat kelamin wanita stop buat takut paksa rakyat jadi rakyat kelinci coba vaksin segera henti pandemi sih
mcreativepky,3/7/2022 20:52,positif,aman vaksinasi covid 19 kapolsek bukit batu kali 8 warga suntik vaksin
Lapas_Parepare,3/7/2022 20:26,positif,12 kadiv masyarakat kemenkumham sulsel edi kurniadi rangka cegah covid 19 24 lapas rutan lpka sulsel vaksinasi capai 98 38 persen 10 997 warga bina masyarakat vaksin ri sulsel kumham pasti kumham sulsel
LulutPrasetiyo,3/7/2022 20:25,negatif,surat vaksin surat tahan hadap bilang covid flu kejar rakyat vaksin hasil
Rutanbantaeng,3/7/2022 19:55,positif,ri sulsel kadiv masyarakat kemenkumham sulsel edi kurniadi rangka cegah covid 19 24 lapas rutan lpka sulsel vaksinasi capai 98 38 persen 10 997 warga bina masyarakat vaksin ri sulsel kumham pasti kumham sulsel
dennis_solisa,3/7/2022 19:51,netral,1501 simak rezim cerita edukasi sebab tular virus corona covid 19 narasi vaksin vaksin kaji klinis nya negara terap mf fase 6 bahagia
GoSumutdotcom,3/7/2022 19:38,positif,serta didik sdn 0102 sibuhuan antusias vaksin covid ajar tatap muka
rioarsaputra,3/7/2022 19:34,netral,jadwal lokasi vaksinasi covid 19 puskesmas lurah gerai vaksin polres polsek cek jadwal
fantasidedi,3/7/2022 19:09,negatif,medsos orang keluh jadi ikut pasca imunisasi pasca vaksinasi covid konsekuensi putus bagus keluh medsos keluh produsen vaksin
fantasidedi,3/7/2022 19:08,negatif,wkwkwk tertawa guling guling dokter ilmuwan kudu gaul banyak lab mata lihat sehat protokol sehat vaksin kena covid
wamnews_ind,3/7/2022 19:02,netral,kemenkes 10 769 dosis vaksin covid 19 24 jam total 24 259 048 wamnews
JaPenWPKL,3/7/2022 18:55,netral,pinggir setiabudi fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia langkah langkah lindung varian omicron penting dosis booster vaksin covid 19 sosialisasi putus rantai covid 19 keluarga malaysia lari maya keluarga malaysia
JaPenWPKL,3/7/2022 18:54,netral,fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia langkah langkah lindung varian omicron penting dosis booster vaksin covid 19 sosialisasi putus rantai covid 19 keluarga malaysia lari maya keluarga malaysia iow komunikasi kita
KurunoDaichi,3/7/2022 18:46,negatif,incase vaksin 4 akan ambil siksa nya sakit nya kena covid fighter19
Renonegoro1,3/7/2022 18:38,positif,vaksin covid jamin aman
GitaRullya,3/7/2022 18:37,positif,konfirmasi aman suntik vaksin covid 19 hamil boleh penuh syarat
GitaRullya,3/7/2022 18:37,positif,tangan covid 19 airlangga nahdlatul ulama berani vaksin halal aman
JaPenWPKL,3/7/2022 18:34,netral,jalan rampai maju 6 pangsapuri adelia residensi rampai dahlia apartment fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia langkah langkah lindung varian omicron penting dosis booster vaksin sosialisasi putus rantai covid 19
JaPenWPKL,3/7/2022 18:23,netral,fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia langkah langkah lindung varian omicron penting dosis booster vaksin covid 19 lapor uji isolasi informasi cari nilai kendiri covid 19 sosialisasi putus rantai covid 19 keluarga malaysia sosialisasi sumbang darah
bershaf,3/7/2022 18:10,negatif,aku aku kena sangat ringan covid habis vaksin tidak pernah tingkat tolol aku tingkat ingat aku payah susah simpan susah simpan
BalkonJakarta,3/7/2022 18:06,netral,kelompok kebal bentuk pilih pilih vaksin covid 19
cutlem_jack,3/7/2022 17:54,positif,patuh disiplin protokol sehat menteri koordinator bidang ekonomi airlangga hartarto nahdlatul ulama main peran strategis ambil putus status guna vaksinasi covid 19
solebayah,3/7/2022 17:33,negatif,mantabs tolong buat vaksinbooster vaksinbooster harus vaksinbooster sila vaksinbooster vaksinbooster sila vaksinbooster kembali normal 100 sakit covid suruh obat 1 sehat sila 2 sakit sila
mang_Ijay,3/7/2022 17:25,netral,mandat vaksin mandat alat tes integrasi aplikasi kontrol digital fantasi bebas tuju cipta kembali normalitas gantung vaksin obat efek negatif di salah arti sesuai tema covid 19
2Mikeadamhalik,3/7/2022 17:15,netral,perintah keluar bijak iring kendal tangan pandemi covid 19 masyarakat vaksin lengkap polymerase chain reaction antigen jalan darat laut udara
heyadhy,3/7/2022 17:07,negatif,vaksinbooster kena covid
wow_keren,3/7/2022 17:01,netral,yoo jae seok song ji hyo baik atas tular covid 19 vaksin yoojaeseok songjihyo
HeyNuur_,3/7/2022 16:54,negatif,vaksin fungsi fungsi adik kena covid mesti laa gejala ringan gejala parah batuk flu demam gantung kebal badan la paksa orang suntik
abdulla96195174,3/7/2022 16:47,netral,cipeng vaksin sintas covid milik sel simpan adil hapus test antigen polymerase chain reaction ganti test titer antibodi sains
setiabudi___,3/7/2022 16:46,netral,mas syukur mas nya kena covid vaksin sebenernya bagus immunnya
demikebenaran,3/7/2022 16:43,negatif,dokter dokter soal mudah mati covid 19 vaksin 471 orang mati covid 19 vaksin 30 000 orang vaksin kesan ringan komplikasi covid orang mati vaksin
SabahMediaNews,3/7/2022 16:37,netral,vaksin untuk anak ambil peluang cuti sekolah bawa anak terima vaksin covid 19
mygyunggi,3/7/2022 16:36,negatif,minggu ngobrol endemic era kadinkes kota ketemu acara vaksin bilang varian covid lemah gejala s oke kaya flu ya depan variantnya lemah kuat
CEOfficialID,3/7/2022 16:36,netral,atur pesawat kereta api tes covid 19 vaksin lengkap
arif_nugr1,3/7/2022 16:34,netral,indonesia milik 440 juta sedia vaksin covid 19
yhono1212,3/7/2022 16:30,netral,airlangga hartarto sebut tonton motogp mandalika kali vaksin wajib tes antigen polymerase chain reaction airlangga sebut dosis vaksinkedua ntb 70
FirmRei,3/7/2022 16:20,netral,kebut vaksin covid 19 anak usia 6 11 bhabinkamtibmas desa batujala awal
Arkan21605372,3/7/2022 16:18,negatif,koko28 stop vaksin 2 kali suntik alas administrasi alas sehat mari tingkat imun alami zaman sandiwara covid
BalaiSat,3/7/2022 16:18,positif,rangka ops selamat toba 2022 kasat lantas akp h w siahaan s h pimpin personel sat lantas laksana giat terang ajak masyarakat vaksin covid 19 opskeselamatan2022 pakaimasker ayovaks ncovid19
voidotid,3/7/2022 16:09,netral,144 orang calon jemaah haji daftar banyak 130 orang terima vaksinasi dosis tiga booster
Entikaru1,3/7/2022 16:08,negatif,negara anggap covid sakit endemi masker indonesia ribet urus antigen polymerase chain reaction transportasi isu vaksinbooster 4 tayangin derita covid varian suram negara
nurulhudashakle,3/7/2022 16:07,netral,ikut kisah mati tragis tangmo perang covid vaksin peras malam ajal tidak apa ambil kenal lebih baik fokus mangsa banjir
HoneydaIliyina_,3/7/2022 16:04,negatif,erti a mas omong dari jaman covid orang vaksin nongkrong hahahaha
curryspeaking,3/7/2022 16:04,netral,samping efek nya 2 2 samping efek konklusi soal aju kesan obat ivermectin dokter klaim kesan lawan covid dokter klaim before ambil vaksin tambah lapor pfizer
meratapbintang,3/7/2022 16:01,positif,konfirmasi aman suntik vaksin covid 19 hamil boleh penuh syarat patuh disiplin protokol sehat
meratapbintang,3/7/2022 16:01,positif,tangan covid 19 airlangga nahdlatul ulama berani vaksin halal aman patuh disiplin protokol sehat
taishan_dtrt,3/7/2022 15:46,netral,sahabat sehat terima vaksin covid 19 dosis 3 infokesehatantaishan covid rapidtestjakarta pcrdrivethrujakarta antigenjakarta taishanrapidtest antigentangerang antigenserpong antigenjakartabarat antigensoekarnohatta polymerase chain reaction jakarta polymerase chain reaction tangerang
AryPrasetyo_85,3/7/2022 15:46,netral,dasamuka kalong 1 berita palsu vaksin covid 19 sebar kalang masyarakat
cazzrah,3/7/2022 15:37,negatif,kena covid dosa vaksin paru paru drop fungsi tangga mengah sukan booster paru paru okay badminton jam baru ini main 2 jam tidak tahu la hubung buruk
meryyhuang,3/7/2022 15:35,netral,coba penasaran instagram info moderna instagram rumah sakit klinik
Robi8400,3/7/2022 15:33,positif,ya vaksin imun biar kuat serang sakit ya kena covid imun kuat
haidir_setiawan,3/7/2022 15:30,negatif,wits ban salah ketik dan lain2 test kit dan terus soal darimana istilah covid 19 tes kits 2017 uu6 2018 psl 65 frasa sertifikat vaksinasi int vaksin ok sertiffikat dari mana sertiffikat
nandafida,3/7/2022 15:28,positif,ayo lindung keluarga covid 19 vaksinasi vaksin aman halal kualitas ri lpdp lpdp2022 pk182 zoragauri diriuntuknegeri indonesiatangguhindonesiatumbuh sdmunggulindinesiamaju akupastimengabdi recoverstrongerrecovertogether
RezaFrandika4,3/7/2022 15:17,positif,konfirmasi aman suntik vaksin covid 19 hamil boleh penuh syarat indonesia disiplin protokol sehat
haidir_setiawan,3/7/2022 15:17,negatif,14 maret paspor covid 19 perancis cabut logika vaksin wajib otomatis batal orang duduk pimpin percaya sangat kecuali macron turun garda davos19 trudeau jalan mundur
fatuknutu2022,3/7/2022 15:13,negatif,contoh harga dosis vaksin covid china russia obral besar2an rencana jual iphone beli barang mahal beli apps nya mahal
frdrio,3/7/2022 15:01,netral,pa permisi anak bawah 5 vaksin covid ya
satia_nagara,3/7/2022 15:00,negatif,koko28 rekan kerja 2 kali vaksin kemarin tes polymerase chain reaction positif ke 2 kali vaksin positif covid eh kemarin lengkap vaksin positif gejala vaksin bingung sikap covid 19
RiikaPS,3/7/2022 15:00,negatif,jamin gelombang susul covid 19 variant bebas pergi swab antigen polymerase chain reaction memang vaksin 2 dosis jamin tular capek bayi 7 bulan
ivooxid,3/7/2022 14:58,netral,perintah seru tara akses vaksin covid 19 forum civil 20
republikaonline,3/7/2022 14:51,negatif,vaksinbooster imun bentuk tubuh hilang
akmalarif90,3/7/2022 14:46,netral,fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia penting dosis booster vaksin covid 19 sosialisasi putus rantai covid 19 keluarga malaysia lari maya keluarga malaysia iow komunikasi kita keluargamalaysia donor darah selamat nyawa
Rizal9214,3/7/2022 14:44,positif,waspada provokasi kelompok penting kait tolak vaksin vaksin covid pilih perintah uji jamin aman
PuisiSex,3/7/2022 14:40,netral,vaksin covid
Muchlis88426192,3/7/2022 14:39,negatif,koko28 simpul vaksin tidak lah sangat jaga protokol sehat udara sehat dokter ya mending dokter dari pada buang uang ada juta vaksin bukti efektif jamin terinveksi covid buruk mati
AntiKadrun_,3/7/2022 14:35,netral,id dasamuka andal media sosial cari informasi vaksin covid 19 cari informasi sumber sumber percaya
marinir_tni_al,3/7/2022 14:35,netral,puslatpurmar 4 purboyo dukung laksana vaksin covid 19 puskesmas bantur
Najhwa_AM,3/7/2022 14:34,netral,id dasamuka informasi guna kredibel andal media sosial twitter facebook informasi vaksin covid kait kurang perilaku lindung sehat tingkat percaya teori konspirasi
AryPrasetyo_85,3/7/2022 14:33,netral,id dasamuka yuk tahu hadap berita palsu vaksin covid 19
mbah_binong,3/7/2022 14:33,negatif,rakyat malu negara anggap covid flu jual polymerase chain reaction antigen vaksin dan lain2
notskrD,3/7/2022 14:33,negatif,warga 2 kali vaksin polymerase chain reaction antigen kendara pls la ya kali jamin pergi covid ekonomi jelang ramadhan bodoh amatin sehat
Spy_Zone85,3/7/2022 14:32,netral,berita palsu vaksin covid 19 kominfo turun 2 661 konten media sosial lapor temu berita palsu putar vaksin covid 19 jumat 4 3 2022 470 temu berita palsu sebar media sosial sebar capai 2 661 konten
Lah06575154,3/7/2022 14:32,netral,covid 19 raja teliti kaedah beri vaksin mulut sembur hidung terusi pelan tuju bangun vaksin negara ppvn video penuh
Spy_Zone85,3/7/2022 14:32,netral,banyak berita palsu vaksin covid 19 sebar masyarakat bingung pengaruh percaya masyarakat vaksin covid 19
ryolandafit,3/7/2022 14:29,netral,as kirim 3 5 juta vaksin covid ri total 32 3 juta dosis
medcom_id,3/7/2022 14:29,netral,vaksin covid 19 lindung varian
MuhammadDjazul1,3/7/2022 14:26,negatif,vaksin 3 booster protokol sehat laku papar covid 19 lantas vaksin percaya nama vaksin kaya saudagar vaksin
bellsame,3/7/2022 14:18,netral,butuh informasi vaksin covid 19 kunjung website informasi kait covid 19 kunjung situs resmi tangan covid 19 pulih ekonomi nasional
21BeritaTerkini,3/7/2022 14:18,positif,girang dagang cendol tani ikan motor suntik vaksin covid 19
AryPrasetyo_85,3/7/2022 14:16,negatif,pandemi kabar bohong edar vaksin gejala gejala covid 19
Spy_Zone85,3/7/2022 14:15,netral,berita palsu vaksin covid 19 kominfo turun 2 659 konten media sosial rabu 2 3 2022 469 temu berita palsu sebar media sosial sebar capai 2 659 konten
kutarajapost,3/7/2022 14:14,netral,as sumbang juta dosis vaksin covid 19 ri
mgreyfans,3/7/2022 14:12,negatif,minggu asa kena covid diswab negatif hasil batuk pilek pusing demam vaksin efek gel
nurfarhatulhuda,3/7/2022 14:09,netral,minggu tim tangan vaksin offsite kabanyakn kuarantin positif covid telah itu jadi cerita harini projek vaksin 2 paksa biar pergi karena staf aaaa sayang
satbrimobda,3/7/2022 14:08,netral,laksana vaksin covid 19 tahap tiga booster masyarakat kec tinanggea kab konawe selatan tim vaksinator teratai satu brimob polda sultra
Fatahillah7799,3/7/2022 14:03,netral,rf malam sahabat syarat terbang sesuai surat edar kemenhub nomor 96 2021 tumpang wajib sertifikat vaksin surat terang hasil negatif periksa uji covid 19 sesuai rute terbang 1 2
Jujue7795,3/7/2022 14:03,negatif,covid variant 6 hilang bau tidur sesak demam mati batuk karena vaksin karena variant omicron lemah
angkasapura172,3/7/2022 13:58,netral,malam sahabat syarat terbang sesuai surat edar kemenhub nomor 96 2021 tumpang wajib sertifikat vaksin surat terang hasil negatif periksa uji covid 19 sesuai rute terbang 1
forseonhohada,3/7/2022 13:57,negatif,netizen twitter kejam kejam netizen anti covid vaksin kejam sabar sabar detik tidak perlu peduli ok sarah urus protokol sehat
IDCorner,3/7/2022 13:52,netral,as sumbang juta dosis vaksin covid 19 ri idcorner
TETAPRAHASIA,3/7/2022 13:52,negatif,mertua bilang tempo vaksin pikir gratis syarat beli minyak goreng murah vaksinasi heran rakyat sulit akal an program vaksin
protecthealthco,3/7/2022 13:48,netral,amal norma ambil vaksin covid 19 sarawak norma pakai masker muka jaga jarak cuci tangan air sabun hand sanitizer sumber jabat sehat negeri sarawak rasmi anms covid 19
Sufiannii,3/7/2022 13:48,negatif,omicron lelah tetiba lelah lampau sore tenggorok polymerase chain reaction ingat karena samping efek vaksin kena covid
sirajapadoha,3/7/2022 13:44,netral,video 2 pesawat udara kapal laut angkut darat tes polymerase chain reaction antigen 2 kali vaksin hapus syarat laku orang terima minimal dosis vaksin covid 19
Beritasatu,3/7/2022 13:40,netral,data terima vaksin covid 19 7 maret 2022
tvOneNews,3/7/2022 13:39,netral,bank indonesia serah bantu 60 000 dosis vaksin covid 19 wilayah diy
tokwan_jeli,3/7/2022 13:38,netral,nyata media menteri sehat malaysia beri vaksin sinovac kanak kanak 5 11 bawah program imunisasi covid 19 bangsa kanak kanak
tashazulkarnain,3/7/2022 13:38,netral,imunisasi covid 19 malaysia terusi pelan tuju bangun vaksin negara bangun kaedah beri vaksin mulut sembur hidung timbal menteri sains teknologi inovasi datuk ahmad amzad hashim artikel penuh
tokwan_jeli,3/7/2022 13:38,netral,beri vaksinasi sinovac kanak kanak 7hb mac 2022 rujuk catat ppv pilih halaman sawang
lantas_ngada,3/7/2022 13:37,netral,abai covid 19 varian omicron intai sekitar patuh himbauan perintah mencenggah obat warga masyarakat terima vaksin tahap i ii iii boster gerai vaksinasi presisi polres ngada
sirajapadoha,3/7/2022 13:36,netral,pesawat tes polymerase chain reaction antigen 2 kali vaksin perintah longgar syarat pergi pesawat darat laut hapus syarat laku orang terima dosis vaksin covid 19
titikputih01,3/7/2022 13:36,netral,pro fucks telaah komentar aman selamat sehat serta orang dekat
Satlantascmh,3/7/2022 13:36,netral,umroh ibadah haji silah vaksin covid 19 layan gratis
Anto21543249,3/7/2022 13:35,netral,sedia masuk lembur butuh vaksin covid 19 dosis 2 silah kirim surat lamar kerja cv dokumen sertifikat dukung email subjek hse officer nkf vindanindi co id zainul exelmandiri com lambat 08 03 22
sukasomee,3/7/2022 13:34,negatif,langsung positif covid vaksin
Syamsud76579252,3/7/2022 13:30,positif,vaksin baik vaksin cepat dapat
ndarinda,3/7/2022 13:30,netral,viral bocah laki laki tahan hadap suntik vaksin covid 19 jarum tembus kulit
dieedylla,3/7/2022 13:27,negatif,vaksin demam vaksin mati kena covid sungguh celaka bedebah cis hmmm
ych_man,3/7/2022 13:26,negatif,capai vaksinasi covid 2 indonesia 70 kabar narasi ahli bicara kelompok kebal vaksin juru selamat ngomong tular alas virus misterius vaksin
KISSHotInfo,3/7/2022 13:25,netral,amerika serikat mitra corvax unicef sumbang 32 3 juta dosis vaksin covid 19 selamat jiwa dukung target vaksinasi perintah indonesia
papuakinioke,3/7/2022 13:25,netral,kali vaksin laku jalan test covid 19
AinulTajul,3/7/2022 13:17,negatif,perit tenggorok post tonsillectomy covid 19 lengkap 3 dosis vaksin kacau
pewpewdor,3/7/2022 13:14,netral,admin aku vaksin 2 kali kena covid keluarga gejala luka lumayan mending tes genose murah
nujopuil,3/7/2022 13:14,negatif,prof imunologi kanada byram bridle salah protein lonjak vaksin covid sunti sebab rusa organ 06 03 2021 1 7
headsink,3/7/2022 13:14,negatif,biarpun kena covid 19 nasib hilang bau karena vaksin efek demam alam covid 19
m00rbucks,3/7/2022 13:12,negatif,vaksin 10x kena covid ya iya
ulung_hans,3/7/2022 13:12,negatif,bloodclot puja vaksin covid percaya
BuletinTV3,3/7/2022 13:09,netral,covid 19 raja teliti vaksin mulut sembur hidung
mediaindonesia,3/7/2022 13:04,netral,kemenkes lapor warga terima vaksin covid 19 dosis lengkap tambah 163 ribu orang senin 7 3
Knowyourenemyz,3/7/2022 12:58,negatif,sat foto sayang potong tweetnya didelete foto org2nya guk guk pakai masker tali ikat kepala vaksin orang ribut duduk covid selesai masyarakat golong rendah
lelywashere,3/7/2022 12:58,netral,enak sih pergi tidak perlu antigen polymerase chain reaction kasi orang daerah kota tidak ingin vaksin kena covid duduk kota vaksin lengkap ya lumayan gejala
penarikbeca,3/7/2022 12:57,netral,sangka tahap soal vaksin kena covid kiri kanan orang moga lindung sentiasa
voidotid,3/7/2022 12:57,netral,148 02 warga indonesia oleh dosis lengkap vaksin covid 19 senin 7 maret 12 00 wib data dasar tambah orang suntik dosis 163 040 orang
YudhiMira,3/7/2022 12:57,positif,vaksin booster efektivitas negatif omicron paham covid vaksin btw kutip artikel baru
bramhuge,3/7/2022 12:53,negatif,kalimat umpat pandemi sampai dengan vaksin nth varian covid nama kena covid kerumun sehat bangkai atur kali hidup orang ngelunjak kali si manusia stress
bramhuge,3/7/2022 12:51,negatif,kalimat umpat pandemi sampai dengan vaksin kena covid kerumun sehat bangkai atur kali hidup orang ngelunjak kali si manusia stress
Norafizajaafar1,3/7/2022 12:48,negatif,lelah malaysia bencana teman sibuk politik vaksin covid balak masing2 bagus duniawi turun angkat tidak sedau allahu
ulung_hans,3/7/2022 12:42,negatif,ristianto orang orang negeri kompak demo tolak vaksin covid indonesia vaksin covid sembah jadi rutinitas suntik jalan sehat generasi bodoh
indrinayy,3/7/2022 12:42,negatif,kang 2 kali vaksin tutup infeksi covid basedtruestory
frdrio,3/7/2022 12:37,netral,anak bawah 5 dosis vaksin covid ya
here_manz,3/7/2022 12:37,netral,vaksinasi covid 19 gelar terminal petikemas bitung siang masyarakat kota bitung antusias tunggu gilir terima vaksin dialog konferensi video wakil kab kota gelar acara
donjasn,3/7/2022 12:36,netral,hai sahabat rsui vaksin covid 19 yuk sedia vaksin dosis 1 2 3 booster sentra vaksinasi rsui yayasan wings peduli informasi lengkap kunjung website rsui ya tinggal simpan yuk lindung diri keluarga cinta vaks ncovid19
here_manz,3/7/2022 12:34,positif,indonesia apresiasi kolaborasi global akses ya covid 19 alat akselerator act a bentuk cepat kembang produksi akses adil tes awat vaksin covid 19 simpan semua orang
whatimlookinfor,3/7/2022 12:27,netral,aku kena covid aku 3 kali vaksin coba gaya hidup makan sehat
anggaihzap,3/7/2022 12:23,negatif,asa bilang vaksin tahan hadap covid aneh
AnnLimat,3/7/2022 12:21,netral,dikemaskini rujuk catat ppv pilih halaman sawang vaksin untuk anak
kotakasablanka,3/7/2022 12:20,netral,kabar gembira sentra vaksinbooster hadir 14 18 maret 28 maret 1 april 2022 senin jumat 09 00 13 00 wib kasablanka aula 3 lantai kota kasablanka ambil rang covid 19 vaksinasi
capcipcupski,3/7/2022 12:20,negatif,atas bilang covid flu vaksin s d booster sih iya
ermitriaji,3/7/2022 12:17,negatif,jaring vaksin puas ya turun game covid jn jarsos
ermitriaji,3/7/2022 12:17,negatif,covid bahaya ya konstruksi tuju vaksin jn jarsos
scienceprank20,3/7/2022 12:15,positif,aku bolak info saudara aku label berita palsu percaya perintah mikirnya masak sih perintah ngebohongi apa kemas sebab covid bkn vaksin poor sheeps
Polresta_SMD,3/7/2022 12:11,positif,polsek sungai kunjang gencar vaksinasi covid 19 khusus lansia kerah personil bhabinkamtibmas jemput lansia vaksin covid 19
rsud_moewardi,3/7/2022 12:10,positif,pasien antar rsud moewardi ikut vaksinasi covid 19 manfaat sempat bikin rumah pakai batu bata jendela kaca virus corona nyata vaksin tubuh ayo vaksin
betmington,3/7/2022 12:09,negatif,khawatir bijak vaksin 2 kali bebas terbang polymerase chain reaction ppln tidak perlu karantina khawatir keluarga tim anti vaksin ofc bentar pst meninggoy bener damai covid
BatamPos,3/7/2022 12:08,netral,tonton motogp mandalika tes covid 19 vaksin lengkap
PDI_Perjuangan,3/7/2022 11:56,netral,provinsi kalimantan barat 2 maret 2022 cakup vaksinasi manual covid 19 kapuas hulu persentase 73 43 persen vaksinasipertama 163 829 orang 90 85 persen vaksinkedua 100 997 orang 56 01 persen
ShareInfoSaja,3/7/2022 11:55,positif,halal vaksin covid 19 lewat tahap rekomendasi halal aman mui acehviral aceh vaksincovid19 covid19indonesia acehsehat
ShareInfoSaja,3/7/2022 11:55,positif,guna vaksi covid 19 jamin halal mui ragu vaksin vaksinasi jaga sehat keluarga takut vaksin acehviral aceh vaksincovid19 covid19indonesia acehsehat
polresjembrana,3/7/2022 11:53,netral,bhabinkamtibmas laksana aman pantau vaksin covid 19
rs_persahabatan,3/7/2022 11:49,netral,update vaksin covid 19 8 maret 2022 kemenkes ri vaks ncovid19 vaksinbooster vaks ncovidanak stopcovid19 rsup sahabat
DreamBoumKiss,3/7/2022 11:40,negatif,wujud okay orang kelompok tidak mau booster ambil vaksin karena sehat hindar paham bantu hindar covid tahap 5 paling sedikit buruk kesan tindak sejahtera umat manusia
DreamBoumKiss,3/7/2022 11:38,negatif,salah antivaxx diam 1 vaksin 2 salahguna data keluarga senang mysejahtera 3 sebar virus covid diam karena in tolak tidak mau check rtk polymerase chain reaction test 4 sambung sebar vaksin agenda yahudi bla bla bla
KoboiBengek,3/7/2022 11:37,netral,bulan sanur bulan ubud kawan daerah zona hijau covid bal naek jkt turun pulang nya anak bini vaksin sang
ryshasoydere,3/7/2022 11:34,negatif,baca surat baca tweet baca dapat saintis bidang virologi biologi molekular nilai paham kaji jadi hujah konteks tambah ragu vaksin vaksin vaksin selamat kesan ringan komplikasi covid
DreamBoumKiss,3/7/2022 11:34,negatif,tuju bebal vaksin sehat walafiat ambil vaksin jenis keras kepala tidak mau ambil langsung klaim vaksin palsu covid demam utama antivaksin masuk icu covid la
miseyzzl,3/7/2022 11:33,netral,kaji kini pulih malaysia 90 kesan jangkit covid 19 vaksin primer dosis booster banding dosis lengkap pulih menang sama lindungdirilindungsemua keluargamalaysia jabatanpenerangan
bamkuchem,3/7/2022 11:28,netral,habis kena covid vaksinbooster undur sih
ViralinId,3/7/2022 11:28,netral,menteri koordinator bidang maritim investasi menko marves luhut binsar pandjaitan tentu laku tumpang jalur darat laut udara tentu laku orang terima dosis vaksin covid 19
__yeonsuu__,3/7/2022 11:27,negatif,kena nyeri otot gegara covid vaksin kali
