username,tanggal,tweet,sentimen
pkmjangkar,2022-03-07 23:58:20,".update jadwal vaksinasi covid-19 UPT Puskesmas Jangkar

Selasa, 08 Maret 2022
""Vaksin Aman""
""Vaksin Halal""
""Masyarakat Sehat""
""Indonesia Kuat

@dinkes_situbondo 
mutiarafm,2022-03-07 22:46:02,Teruskan berikhtiar dengan mengambil vaksin &amp; dos penggalak sebagai salah satu usaha kita  menghentikan penularan COVID-19 di samping mematuhi SOP.
rinnsyazana,2022-03-07 22:40:13,"Ada jugak yg kata.. Yg dh booster tu la yg dok positive covid, yg tak vaksin satu dose lagi pun tk positive. Penat sis penat https://t.co/GShvlSc4QT"
BangPale2,2022-03-07 22:39:55,"Dikonfirmasi Aman, Suntik Vaksin Covid-19 untuk Ibu Hamil Diperbolehkan Asal Memenuhi Syarat Ini
https://t.co/mrlkFDpAGr
Patuhi Disiplin Prokes"
BangPale2,2022-03-07 22:39:55,"Penanganan Covid-19, Airlangga: NU Berani Menyatakan di Awal bahwa Vaksin Halal dan Aman
https://t.co/iSA5yIEQwK
Patuhi Disiplin Prokes"
04_pedan,2022-03-07 22:28:49,"Babinsa Desa Temuwangi Serda Agus Tri Gunanta Koramil Pedan Kodim 0723/Klaten bersama Bhabinkamtibmas Aiptu Sholeh melaksanakan Pendampingan Vaksin Dengan Gugus Tugas Covid-19 Desa Temuwangi  Kecamatan Pedan.
#Kodim0723Klaten
#Korem074Wrt
#KodamIVDiponegoro https://t.co/aVBKXWCvKG"
SatbrimobdaGor1,2022-03-07 22:00:23,Personil Satbrimob Polda Gorontalo Lakukan Pengamanan Ketat Di Gudang Penyimpanan Vaksin Covid-19 pastikan tetap aman https://t.co/VTE7QREevZ
arief_us,2022-03-07 21:51:15,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
Lamana18290144,2022-03-07 21:33:44,"Kodim 0727/Karanganyar
Senin tgl 7/2/2022, Pukul 09.00 Wib, Serda Imam Maulidin Babinsa Desa Karang Anggota Koramil 06/Karangpandan Melaks Pendampingan Vaksinasi Covid 19 Vaksin Ke - 3 Boster Jenis Vaksin Prizer dari Puskesmas Karangpandan di Balai Desa Karang Kec. Karangpandan https://t.co/beuFvkqAKl"
LatifAbdulah3,2022-03-07 21:28:15,Tidak Benar Vaksin Covid-19 Sebabkan Mutasi Varian Covid-19 https://t.co/UwIXJluSlb
MataMenyala6,2022-03-07 21:28:13,Tidak Benar Vaksin Covid-19 Sebabkan Mutasi Varian Covid-19 https://t.co/82yy44pSI1
NGiskos,2022-03-07 21:26:13,"Apa Berarti Covad Covid Jahanam Pukimaknya ini sudah ga berarti lagi,  kalau gitu stop nakuti dan paksa rakyat hingga jadikan rakyat sebagai kelinci percobaan untuk vaksin, segeralah hentikan Plandemik ini, ia ga sih ?
😁🤣 https://t.co/OVZ96ntkRY"
mcreativepky,2022-03-07 20:52:00,"Amankan Vaksinasi Covid-19, Kapolsek Bukit Batu: Kali Ini Ada 8 Warga Disuntik Vaksin https://t.co/n25TDGIL9y"
Lapas_Parepare,2022-03-07 20:26:10,"12. Kadiv Pemasyarakatan Kemenkumham Sulsel Edi Kurniadi: Dalam rangka pencegahan Covid-19, 24 Lapas/Rutan/LPKA di Sulsel telah dilakukan vaksinasi dgn capaian 98,38 persen dari 10.997 WBP (Vaksin ke satu dan kedua). 
@Kemenkumham_RI
@Kumham_Sulsel
#KumhamPasti
#KumhamSulsel"
LulutPrasetiyo,2022-03-07 20:25:28,"@SandySukses Yang ngak perlu itu surat vaksin..untuk apa surat kalau masih belum bisa kebal?.bilang aja covid udah seperti flu biasa,itu lebih baik daripada kejar2 rakyat untuk vaksin tanpa ada  hasil."
theo73ploRI,2022-03-07 20:01:57,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
GustiMberkahi,2022-03-07 20:01:28,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
Rutanbantaeng,2022-03-07 19:55:24,"@Kemenkumham_RI @Kumham_Sulsel Kadiv Pemasyarakatan Kemenkumham Sulsel Edi Kurniadi: Dalam rangka pencegahan Covid-19, 24 Lapas/Rutan/LPKA di Sulsel telah dilakukan vaksinasi dgn capaian 98,38 persen dari 10.997 WBP (Vaksin ke satu dan kedua). 
@Kemenkumham_RI
@Kumham_Sulsel
#KumhamPasti
#KumhamSulsel"
dennis_solisa,2022-03-07 19:51:51,"@alvinrio_1501 simak.
Rezim anda ini gak pernah cerita soal edukasi, penyebab, penularan Virus Corona, covid-19.
yg di Narasikan hanya soal Vaksin. untuk apa itu faksin gak pernah ada Kajian Klinis nya..
spertinya Negara anda sdg menerapkan MF fase 6 agar terlihat bahagia https://t.co/9hpj3t86Om"
dubie_tina,2022-03-07 19:47:52,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
GoSumutdotcom,2022-03-07 19:38:32,Peserta Didik SDN 0102 Sibuhuan Antusias Vaksin Covid untuk PTM https://t.co/sgZdXGPUMr
rioarsaputra,2022-03-07 19:34:20,"Berikut jadwal dan lokasi vaksinasi Covid-19 lainnya hingga beberapa hari ke depan di puskesmas, kelurahan, hingga gerai vaksin Polres/Polsek. Cek jadwal lainnya di https://t.co/blZD4JXkbJ https://t.co/Ec6ZOq9UeL"
Rachman19661,2022-03-07 19:24:39,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
ph4n_,2022-03-07 19:09:18,"Jadi inget awal-awal vaksinasi Covid.

Banyak banget parpol, ormas, group konglomerat tetiba dapat jatah distribusi. Padahal saat itu vaksin masih barang langka.

Selalu ada yg mencari celah dan memanfaatkan momentum setiap bencana. https://t.co/TMAqscJiMU"
fantasidedi,2022-03-07 19:09:15,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
fantasidedi,2022-03-07 19:08:08,"Wkwkwk ngakak guling-guling gue. Makanya jadi dokter dan ilmuwan tuh kudu banyak gaul. Jangan kebanyakan di lab. Kalo loe pada punya mata, bakal ngeliat yang tetap sehat tanpa prokes dan tanpa vaksin jauh lebih banyak daripada yang kena covid. https://t.co/tSPyZy8OFR"
wamnews_ind,2022-03-07 19:02:10,"Kemenkes Memberikan 10.769 Dosis Vaksin 'Covid-19' Selama 24 Jam Terakhir, dan Total Hingga Saat ini adalah 24.259.048 https://t.co/Llexy0Ai8t 
#WamNews"
JaPenWPKL,2022-03-07 18:55:42,"🔶 Pinggiran Setiabudi

Fokus Penyampaian Maklumat :
📌 Nasihat kesihatan KKM 
📌 Langkah-langkah melindungi diri daripada varian Omicron
📌 Kepentingan dos penggalak vaksin COVID-19 
📌 Kempen Putuskan Rantaian COVID-19
📌 Keluarga Malaysia
📌 Larian Maya Keluarga Malaysia https://t.co/OrAMl5zhAX"
JaPenWPKL,2022-03-07 18:54:57,"Fokus Penyampaian Maklumat :
📌 Nasihat kesihatan KKM 
📌 Langkah-langkah melindungi diri daripada varian Omicron
📌 Kepentingan dos penggalak vaksin COVID-19 
📌 Kempen Putuskan Rantaian COVID-19
📌 Keluarga Malaysia
📌 Larian Maya Keluarga Malaysia 

#IOW
#KomunikasiKita https://t.co/OKN4a2s1Qt"
KurunoDaichi,2022-03-07 18:46:58,"incase kalau ada vaksin ke 4, aku still nk ambik. sbb tahu seksa nye dan sakit nye kalau kena covid.

fighter19"
Renonegoro1,2022-03-07 18:38:26,@Cintada16 Vaksin covid terjamin keamanannya https://t.co/myE5zTjCrZ
Jakasaputraa11,2022-03-07 18:38:26,@mahasiswigenz Vaksin covid terjamin keamanannya https://t.co/w1xzKz3Ist
GitaRullya,2022-03-07 18:37:43,"Dikonfirmasi Aman, Suntik Vaksin Covid-19 untuk Ibu Hamil Diperbolehkan Asal Memenuhi Syarat Ini
https://t.co/g9klcPlyuT"
GitaRullya,2022-03-07 18:37:39,"Penanganan Covid-19, Airlangga: NU Berani Menyatakan di Awal bahwa Vaksin Halal dan Aman
https://t.co/RggFcCFtiU"
JaPenWPKL,2022-03-07 18:34:39,"🔶 Jalan Rampai Maju 6
🔶 Pangsapuri Adelia
🔶 Residensi Rampai
🔶 Dahlia Apartment 

Fokus Penyampaian Maklumat :
📌 Nasihat kesihatan KKM 
📌 Langkah-langkah melindungi diri daripada varian Omicron
📌 Kepentingan dos penggalak vaksin 
📌 Kempen Putuskan Rantaian COVID-19 https://t.co/V6xNF1OSbd"
JaPenWPKL,2022-03-07 18:23:33,"Fokus Penyampaian Maklumat :
📌 Nasihat kesihatan KKM 
📌 Langkah-langkah melindungi diri daripada varian Omicron
📌 Kepentingan dos penggalak vaksin COVID-19 
📌 TRIIS - Penilaian kendiri COVID-19
📌 Kempen Putuskan Rantaian COVID-19
📌 Keluarga Malaysia
📌 Kempen Derma Darah https://t.co/OUyLwH5eiC"
bershaf,2022-03-07 18:10:15,"Ibu gw dan gw sama-sama kena very mild covid. Abis itu juga kita udah vaksin. But still, things are never been the same. 

Belum lagi tingkat ketololan gw meningkat. Ingatan gw tambah payah. Kayak susah recall memory, dan susah inget memory baru."
BalkonJakarta,2022-03-07 18:06:07,Ingin Herd Immunity Segera Terbentuk? Jangan Pilih-pilih Vaksin COVID-19! https://t.co/DkNBqgTtMt
cutlem_jack,2022-03-07 17:54:41,"Patuhi Disiplin Prokes - Menteri Koordinator Bidang Perekonomian Airlangga Hartarto menuturkan bahwa Nahdlatul Ulama telah memainkan peran yang sangat penting dan strategis, terutama mengambil keputusan status penggunaan vaksinasi Covid-19

https://t.co/lZsI9bc3to"
kupie_sikhan,2022-03-07 17:53:37,"Patuhi Disiplin Prokes - Menteri Koordinator Bidang Perekonomian Airlangga Hartarto menuturkan bahwa Nahdlatul Ulama telah memainkan peran yang sangat penting dan strategis, terutama mengambil keputusan status penggunaan vaksinasi Covid-19

https://t.co/SoUDLJg4F7"
boh_u_muda,2022-03-07 17:52:38,"Patuhi Disiplin Prokes - Menteri Koordinator Bidang Perekonomian Airlangga Hartarto menuturkan bahwa Nahdlatul Ulama telah memainkan peran yang sangat penting dan strategis, terutama mengambil keputusan status penggunaan vaksinasi Covid-19

https://t.co/y1uR5f65rp"
erikmancunian7,2022-03-07 17:51:32,"Patuhi Disiplin Prokes - Menteri Koordinator Bidang Perekonomian Airlangga Hartarto menuturkan bahwa Nahdlatul Ulama telah memainkan peran yang sangat penting dan strategis, terutama mengambil keputusan status penggunaan vaksinasi Covid-19

https://t.co/RV2UqFmvjt"
JesOnLimit,2022-03-07 17:50:12,"Patuhi Disiplin Prokes - Menteri Koordinator Bidang Perekonomian Airlangga Hartarto menuturkan bahwa Nahdlatul Ulama telah memainkan peran yang sangat penting dan strategis, terutama mengambil keputusan status penggunaan vaksinasi Covid-19

https://t.co/VxaO8WZVfw"
SoniMsi07,2022-03-07 17:40:15,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
solebayah,2022-03-07 17:33:01,"@CNNIndonesia mantabs👍👍👍
tolg sekalian dibuatkan kata2
'vaksin booster (vb), bukan keharusan'.

yg mau vb, silakan vb
yg tidk mau vb, silakan vb

kembalikan keadaan jadi normal 100%.
kalaupun ada yg sakit covid, suruh aja berobat biasa.

artinya:
1. mau sehat, silakan
2. mau sakit, silakan"
mang_Ijay,2022-03-07 17:25:46,"Mandat vaksin dan Mandat alat tes yang terintegrasi dalam satu aplikasi kontrol digital hanyalah Fantasi Kebebasan.

Tujuannya diciptakan bukan mengembalikan normalitas tapi bergantung pada vaksin dan Obat

Dan semua efek negatifnya  disalahartikan sebagai ""sesuai tema COVID-19"""
azkadotid,2022-03-07 17:20:43,Ingin Herd Immunity Segera Terbentuk? Jangan Pilih-pilih Vaksin COVID-19! https://t.co/xq6dibJE5T
2Mikeadamhalik,2022-03-07 17:15:50,"Pemerintah mengeluarkan sejumlah kebijakan baru seiring dengan terkendalinya penanganan pandemi Covid-19 dalam beberapa waktu terakhir.
jika masyarakat sudah mendapatkan vaksin lengkap, maka tidak perlu untuk melakukan PCR dan antigen untuk perjalanan darat laut dan udara. https://t.co/fTMUtTEXA4"
heyadhy,2022-03-07 17:07:35,Udah vaksin booster tetap bisa kena Covid juga 😆
dzulkarnains,2022-03-07 17:04:47,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
wow_keren,2022-03-07 17:01:36,Yoo Jae Seok Sebut Song Ji Hyo Paling Terbaik Atasi Penularan COVID-19 Meski Tak Vaksin #YooJaeSeok #SongJiHyo https://t.co/OAk4HJGdc5 https://t.co/Rgtdj4nzdx
AboutTNG,2022-03-07 17:00:08,"Berikut jadwal dan lokasi vaksinasi Covid-19 lainnya hingga beberapa hari ke depan di puskesmas, kelurahan, hingga gerai vaksin Polres/Polsek. Cek jadwal lainnya di https://t.co/blZD4JXkbJ https://t.co/Ec6ZOq9UeL"
HeyNuur_,2022-03-07 16:54:51,"vaksin tak function pun. kalau function, adik aku yang kena covid ni mesti laa simptom dia lagi ringan dari aku. tapi simptom dia lagi teruk kot. batuk, selesema, demam lagi. 

semua ni depend on immuniti badan sendiri je. tak perlu la kot nak paksa² orang cucuk. https://t.co/H7MFd9pckM"
abdulla96195174,2022-03-07 16:47:36,"@tirta_cipeng vaksin &amp; penyintas covid sama2 memiliki sel memory, kalo mau fair, hapus test antigen &amp; PCR, ganti dgn test titer antibody, itu baru SAINS"
setiabudi___,2022-03-07 16:46:53,"@bramhuge Jangan gitu mas, bersyukur aja kalo mas nya belom kena covid. Karena vaksin juga sebenernya bagus buat yang immunnya kurang"
demikebenaran,2022-03-07 16:43:42,"Katakan semua yang doctor katakan sini betul.
Bolehkah doctor jawab soalan mudah ini?

Kematian C19 sebelum ade vaksin - 471 orang
Kematian C19 selepas ade vaksin - 30,000 orang

Jika vaksin berkesan meringkan komplikasi covid, kenapa lebih banyak orang mati selepas ade vaksin? https://t.co/U2Sv6pp1az"
kala_ismyname,2022-03-07 16:42:19,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
SabahMediaNews,2022-03-07 16:37:50,PICKids : Ambil Peluang Cuti Sekolah Bawa Anak Terima Vaksin COVID-19 https://t.co/sqCGM50wjM @KKCity @SabahInfo @MasidiM @shahelmey
mygyunggi,2022-03-07 16:36:35,"Minggu lalu ngobrol soal endemic era sama Kadinkes kota disini pas ketemu acara vaksin, dia bilang kalo varian covid melemah gejalanya that's oke jd cuma kaya flu.. tapi ya tetep aja kedepan ga ada yg tau variantnya bakal melemah atau menguat 🥴"
CEOfficialID,2022-03-07 16:36:33,"Aturan Baru Naik Pesawat dan Kereta Api Tak Perlu Tes Covid-19, Tapi Harus Sudah Vaksin Lengkap https://t.co/2ytXA02Ugo https://t.co/w2bLxVkmVE"
arif_nugr1,2022-03-07 16:34:11,Indonesia Miliki 440 Juta Stok Vaksin Covid-19 https://t.co/0YmczU7nMj https://t.co/RlVx2F1kEk
cimbulpamungkas,2022-03-07 16:31:02,Indonesia Miliki 440 Juta Stok Vaksin Covid-19 https://t.co/0YmczU7nMj https://t.co/RlVx2F1kEk
yhono1212,2022-03-07 16:30:48,Airlangga Hartarto menyebut penonton MotoGP Mandalika yang sudah dua kali vaksin tidak diwajibkan tes antigen maupun PCR. Airlangga menyebut rata-rata dosis vaksin kedua di NTB sudah di atas 70%. https://t.co/vOXcOMuBgR
Beritasatu,2022-03-07 16:25:07,Indonesia Miliki 440 Juta Stok Vaksin Covid-19 https://t.co/0YmczU7nMj https://t.co/RlVx2F1kEk
detikcom,2022-03-07 16:22:13,Airlangga Hartarto menyebut penonton MotoGP Mandalika yang sudah dua kali vaksin tidak diwajibkan tes antigen maupun PCR. Airlangga menyebut rata-rata dosis vaksin kedua di NTB sudah di atas 70%. https://t.co/vOXcOMuBgR
FirmRei,2022-03-07 16:20:24,"Kebut Vaksin Covid-19 Bagi Anak Usia 6-11 Tahun, Bhabinkamtibmas Desa Batujala Turut Mengawal https://t.co/TZKrwvBRqN"
Arkan21605372,2022-03-07 16:18:58,"@dr_koko28 @KemenkesRI Stop Vaksin, Cukup 2x disuntik krn alasan administrasi, bukan alasan kesehatan.
Mari tingkatkan Imun secara alami seperti sebelum zaman adanya sandiwara Covid ini."
BalaiSat,2022-03-07 16:18:09,"Dalam rangka Ops Keselamatan Toba 2022 Kasat Lantas AKP H.W. SIAHAAN, S.H. memimpin personel sat lantas melaksanakan giat memberikan  penerangan dan mengajak masyarakat agar Vaksin Covid 19.

@rtmcpoldasumut
@poldasumaterautara
#opskeselamatan2022
#pakaimasker 
#ayovaksìncovid19 https://t.co/iPbEH2Al06"
chicken66nuggie,2022-03-07 16:15:02,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
ADhiantono,2022-03-07 16:13:40,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
PermanaMukim,2022-03-07 16:12:31,"TAHUKAH KAMU FAKTA TENTANG VAKSIN COVID-19? 

Halo Sobat Polri, vaksin Covid-19 adalah jenis vaksin yang dikembangkan untuk meningkatkan imun tubuh terhadap virus SARS-CoV-2 yang menyebabkan penyakit Covid-19. https://t.co/9lpETl9JMF"
pahrulrozzi,2022-03-07 16:10:37,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
voidotid,2022-03-07 16:09:58,Dari 144 orang calon jemaah haji yang telah terdaftar sebanyak130 orang di antaranya telah menerima vaksinasi dosis ketiga (booster). https://t.co/Clj3yDCQoR
Entikaru1,2022-03-07 16:08:45,"negara2 lain udah anggap covid sbg penyakit endemi dan mulai lepas masker

sedangkan indonesia masih ribet urusan antigen/pcr utk transport umum,isu vaksin booster ke-4,tiap hari tayangin jumlah penderita covid varian baru

memang suram negaraku"
nurulhudashakle,2022-03-07 16:07:40,"Follow kisah kematian tragis Tangmo, war, covid, vaksin, prn &amp; sampai tak perasan mlm td ada ajl. Takpela tak penting pun now. Tak ambik tau &amp; tak kenal. Better fokus kpd mangsa banjir."
HoneydaIliyina_,2022-03-07 16:04:44,@mmbunuh @sbyfess samean ngerti a mas? iki omongane samean ket jaman awal covid sampe wong2 wes vaksin ping telu dan kene gurung nongkrong aeeee HAHAHAHA
curryspeaking,2022-03-07 16:04:08,"@abdurraouuf No, bukan side efx nya sama, tp 2 2 ada side efx. Itu konklusinya. Soalan ni diajukan pertama sekali kerana ingin tahu keberkesanan ivermectin di mana ada doktor yg claim ia berkesan melawan covid. This doktor claim it even before sy ambil vaksin lg. Ditambah pula report pfizer.."
meratapbintang,2022-03-07 16:01:18,"Dikonfirmasi Aman, Suntik Vaksin Covid-19 untuk Ibu Hamil Diperbolehkan Asal Memenuhi Syarat Ini
Patuhi Disiplin Prokes
https://t.co/nMV0stdzMp"
meratapbintang,2022-03-07 16:01:17,"Penanganan Covid-19, Airlangga: NU Berani Menyatakan di Awal bahwa Vaksin Halal dan Aman
Patuhi Disiplin Prokes
https://t.co/kuc2Ev0xg8"
lubead,2022-03-07 16:00:31,"negara2 lain udah anggap covid sbg penyakit endemi dan mulai lepas masker

sedangkan indonesia masih ribet urusan antigen/pcr utk transport umum,isu vaksin booster ke-4,tiap hari tayangin jumlah penderita covid varian baru

memang suram negaraku"
taishan_dtrt,2022-03-07 15:46:19,"Soebat Sehat, siap menerima vaksin COVID-19 dosis ke-3?

#infokesehatantaishan #covid #rapidtestjakarta #pcrdrivethrujakarta #antigenjakarta #taishanrapidtest #antigentangerang #antigenserpong #antigenjakartabarat #antigensoekarnohatta #pcrjakarta #pcrtangerang https://t.co/k53i5IOJlI"
AryPrasetyo_85,2022-03-07 15:46:04,"@ABSetyono @kemkominfo @setengahmalass @henrysubiakto @babegalak1 @putrivio3 @PlateJohnny @myozhyme @Aryprasetyo85 @Prabu_dasamuka @Cah_Kalongan1 Hoaks mengenai Vaksin COVID-19 menyebar ke semua kalangan masyarakat.
@kemkominfo"
diannnnihaaa,2022-03-07 15:42:27,"Ada jugak yg kata.. Yg dh booster tu la yg dok positive covid, yg tak vaksin satu dose lagi pun tk positive. Penat sis penat https://t.co/GShvlSc4QT"
cazzrah,2022-03-07 15:37:45,"Lepas kena covid and dua dose vaksin,paru paru aku macam drop banyak function dia. Naik tangga mengah,bersukan pun sama.

Tapi lepas booster,paru paru start okay balik? Boleh badminton sejam,and recently boleh main sampai 2 jam. Taktau la apa correlation dia,tapi not bad."
DiniHrdianti,2022-03-07 15:37:21,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
meryyhuang,2022-03-07 15:35:53,"@geeghaa https://t.co/irugfpQQcx

Coba kepoin dsini, di ig mereka gitu. Aku tau info moderna jg dr ig rs ato klinik2"
Robi8400,2022-03-07 15:33:34,"@bramhuge Ya kan vaksin juga buat nambah imun biar kuat dari serangan penyakit,ya kalo ga kena covid berarti imunnya kuat"
RedywanJ,2022-03-07 15:33:31,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
haidir_setiawan,2022-03-07 15:30:07,"WITS membantah salah ketik dll, test-kit itu jg tdk ada dst - persoalannya darimana dia tau istilah COVID-19 tes kits di thn 2017? 
kasus yg sama pd UU6 2018 psl 65 frasa ""Sertifikat Vaksinasi Int.""  vaksin &gt; itu ok, 
sertiffikat? drmn dia tau sertiffikat"
