username,tanggal,tweet,sentimen
curryspeaking,3/7/2022 16:04,samping efek nya 2 2 samping efek konklusi soal aju kesan obat ivermectin dokter klaim kesan lawan covid dokter klaim before ambil vaksin tambah lapor pfizer,netral
taishan_dtrt,3/7/2022 15:46,sahabat sehat terima vaksin covid 19 dosis ke 3 info sehat taishan covid rapid uji jakarta polymerase chain reaction drive thru jakarta antigen jakarta taishan rapid uji antigen tangerang antigen serpong antigen jakarta barat antigen soekarno hatta polymerase chain reaction jakarta polymerase chain reaction tangerang,netral
AryPrasetyo_85,3/7/2022 15:46,dasamuka kalong 1 berita palsu vaksin covid 19 sebar kalang masyarakat,netral
cazzrah,3/7/2022 15:37,kena covid dosa vaksin paru paru drop fungsi tangga megah seru sama tapi booster paru paru okay badminton satu jam baru ini main 2 jam tidak tahu la hubung dia tapi buruk,negatif
meryyhuang,3/7/2022 15:35,coba penasaran instagram info moderna instagram rumah sakit klinik,netral
Robi8400,3/7/2022 15:33,ya vaksin imun biar kuat serang sakit kena covid imun kuat,positif
haidir_setiawan,3/7/2022 15:30,wits ban salah ketik dan lain2 alat tes dan terus soal darimana istilah covid 19 tes kits 2017 uu6 2018 psl 65 frasa sertifikat vaksinasi int vaksin ok sertiffikat dari mana sertiffikat,negatif
nandafida,3/7/2022 15:28,ayo lindung keluarga covid 19 vaksinasi vaksin aman halal kualitas ri lpdp lpdp 2022 pk 182 zora gauri diri untuk negeri indonesia tangguh indonesia tumbuh sdm unggul indonesia maju aku pasti abdi pulih lebih kuat pulih sama,positif
RezaFrandika4,3/7/2022 15:17,konfirmasi aman suntik vaksin covid 19 hamil boleh penuh syarat indonesia disiplin protokol sehat,positif
haidir_setiawan,3/7/2022 15:17,14 maret paspor covid 19 perancis cabut logika vaksin wajib otomatis batal orang duduk pimpin percaya sangat kecuali macron turun garda davos19 trudeau jalan mundur,negatif
fatuknutu2022,3/7/2022 15:13,contoh gue harga dosis vaksin covid china russia obral besar mereka rencana jual iphone sudah beli barang mahal beli apps nya mahal,negatif
frdrio,3/7/2022 15:01,pa permisi anak bawah 5 vaksin covid ya,netral
satia_nagara,3/7/2022 15:00,koko28 rekan kerja 2 kali vaksin kemarin tes polymerase chain reaction positif ke 2 kali vaksin positif covid eh kemarin lengkap vaksin positif gejala vaksin bingung sikap covid 19,negatif
RiikaPS,3/7/2022 15:00,jamin gelombang susul covid 19 variant bebas pergi swab antigen polymerase chain reaction memang vaksin 2 dosis jamin tular lelah bayi 7 bulan,negatif
ivooxid,3/7/2022 14:58,perintah seru tara akses vaksin covid 19 forum civil 20,netral
republikaonline,3/7/2022 14:51,vaksinbooster imun bentuk tubuh hilang,negatif
akmalarif90,3/7/2022 14:46,fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia penting dosis booster vaksin covid 19 sosialisasi putus rantai covid 19 keluarga malaysia lari maya keluarga malaysia iow komunikasi kita keluarga malaysia derma darah selamat nyawa,netral
Rizal9214,3/7/2022 14:44,waspada provokasi kelompok penting kait tolak vaksin vaksin covid pilih perintah uji jamin aman,positif
PuisiSex,3/7/2022 14:40,vaksin covid,netral
Muchlis88426192,3/7/2022 14:39,koko28 simpul vaksin tidak lah sangat jaga protokol sehat udara sehat dokter ya mending dokter dari pada buang uang ada juta vaksin bukti efektif jamin terinveksi covid buruk mati,negatif
AntiKadrun_,3/7/2022 14:35,id dasamuka andal media sosial cari informasi vaksin covid 19 cari informasi sumber percaya,netral
marinir_tni_al,3/7/2022 14:35,puslatpurmar4 purboyo dukung laksana vaksin covid 19 puskesmas bantur,netral
Najhwa_AM,3/7/2022 14:34,id dasamuka informasi guna kredibel andal media sosial twitter facebook untuk informasi vaksin covid kait kurang perilaku lindung sehat tingkat percaya teori konspirasi,netral
AryPrasetyo_85,3/7/2022 14:33,id dasamuka yuk tahu hadap berita palsu vaksin covid 19,netral
mbah_binong,3/7/2022 14:33,rakyat malu negara anggap covid flu jual polymerase chain reaction antigen vaksin dan lain2,negatif
notskrD,3/7/2022 14:33,warga 2 kali vaksin polymerase chain reaction antigen kendara umumpls la ya kali jamin pergi covid ekonomi jelang ramadhan bodoh amatin sehat,negatif
Spy_Zone85,3/7/2022 14:32,berita palsu vaksin covid 19 kominfo turun 2661 konten media sosial lapor temu berita palsu putar vaksin covid 19 jumat 432022 470 temu berita palsu sebar media sosial sebar capai 2661 konten,netral
Lah06575154,3/7/2022 14:32,covid 19 raja teliti kaedah beri vaksin mulut sembur hidung terusi pelan tuju bangun vaksin negara ppvn video penuh,netral
Spy_Zone85,3/7/2022 14:32,banyak berita palsu vaksin covid 19 sebar masyarakat bingung pengaruh percaya masyarakat vaksin covid 19,netral
ryolandafit,3/7/2022 14:29,as kirim 35 juta vaksin covid ri total 323 juta dosis,netral
medcom_id,3/7/2022 14:29,vaksin covid 19 lindung varian,netral
MuhammadDjazul1,3/7/2022 14:26,vaksin 3 booster protokol sehat laku papar covid 19 lantas vaksin percaya nama vaksin kaya saudagar vaksin,negatif
bellsame,3/7/2022 14:18,butuh informasi vaksin covid 19 kunjung website informasi kait covid 19 kunjung situs resmi tangan covid 19 pulih ekonomi nasional,netral
21BeritaTerkini,3/7/2022 14:18,girang dagang cendol tani ikan motor suntik vaksin covid 19,positif
AryPrasetyo_85,3/7/2022 14:16,pandemi kabar bohong edar vaksin gejala covid 19,negatif
Spy_Zone85,3/7/2022 14:15,berita palsu vaksin covid 19 banyak kominfo turun 2659 konten media sosial hingga rabu 232022 469 temu berita palsu sebar media sosial sebar capai 2659 konten,netral
kutarajapost,3/7/2022 14:14,as sumbang juta dosis vaksin covid 19 ri,netral
mgreyfans,3/7/2022 14:12,minggu asa kena covid diswab negatif hasil batuk pilek pusing demam telah vaksin efek gel,negatif
nurfarhatulhuda,3/7/2022 14:09,minggu tim tangan vaksin offsite kabanyakn kuarantin positif covid telah itu jadi cerita harini projek vaksin 2 paksa biar pergi karena staf aaaa sayang,netral
satbrimobda,3/7/2022 14:08,laksana vaksin covid 19 tahap tiga booster masyarakat kec tinanggea kab konawe selatan tim vaksinator teratai satu brimob polda sultra,netral
Fatahillah7799,3/7/2022 14:03,rf malam sahabat syarat terbang sesuai surat edar kemenhub nomor 96 2021 tumpang wajib sertifikat vaksin surat terang hasil negatif periksa uji covid 19 sesuai rute terbang 12,netral
Jujue7795,3/7/2022 14:03,covid tidak variant 6 hilang bau tidur sesak demam mati batuk lagi bukan karena vaksin karena variant omicron lemah,negatif
azkadotid,3/7/2022 14:00,as sumbang juta dosis vaksin covid 19 keri,netral
angkasapura172,3/7/2022 13:58,malam sahabat syarat terbang sesuai surat edar kemenhub nomor 96 2021 tumpang wajib sertifikat vaksin surat terang hasil negatif periksa uji covid 19 sesuai rute terbang 1,netral
forseonhohada,3/7/2022 13:57,netizen twitter kejam netizen anti covid vaksin kejam sabar sabar mulai detik tidak perlu peduli ok sarah urus protokol sehat,negatif
IDCorner,3/7/2022 13:52,as sumbang juta dosis vaksin covid 19 ri idcorner,netral
TETAPRAHASIA,3/7/2022 13:52,mertua bilang tempo vaksin pikir gratis syarat beli minyak goreng murah vaksinasi dahulu maki lembut rakyat sulit akal program vaksin,negatif
protecthealthco,3/7/2022 13:48,amal norma ambil vaksin covid 19 sarawak norma pakai masker muka jaga jarak cuci tangan air sabun hand sanitizer sumber jabat sehat negeri sarawak rasmi anms covid 19,netral
Sufiannii,3/7/2022 13:48,omicron lelah tetiba lelah lampau sore tenggorok polymerase chain reaction ingat karena samping efek vaksin kena covid,negatif
sirajapadoha,3/7/2022 13:44,video 2 pesawat udara kapal laut angkut darat tes polymerase chain reaction antigen 2 kali vaksin hapus syarat itu hanya laku orang terima minimal dosis vaksin covid 19,netral
Beritasatu,3/7/2022 13:40,data terima vaksin covid 19 7 maret 2022,netral
tvOneNews,3/7/2022 13:39,bank indonesia serah bantu 60000 dosis vaksin covid 19 wilayah diy,netral
tokwan_jeli,3/7/2022 13:38,nyata media menteri sehat malaysia beri vaksin sinovac kanak 5 11 bawah program imunisasi covid 19 bangsa kanak,netral
tashazulkarnain,3/7/2022 13:38,imunisasi covid 19 malaysia terusi pelan tuju bangun vaksin negara bangun kaedah beri vaksin mulut sembur hidung timbal menteri sains teknologi inovasi datuk ahmad amzad hashimartikel penuh,netral
tokwan_jeli,3/7/2022 13:38,beri vaksinasi sinovac kanak 7hb mac 2022 rujuk catat ppv pilih halaman sawang,netral
lantas_ngada,3/7/2022 13:37,abai covid 19 varian omicron intai sekitar patuh himbauan perintah lebih mencenggah obat bagi warga masyarakat terima vaksin tahap i ii iii boster gerai vaksinasi presisi polres ngada,netral
sirajapadoha,3/7/2022 13:36,pesawat tes polymerase chain reaction antigen 2 kali vaksin perintah longgar syarat pergi pesawat darat laut ppenghapus syarat itu hanya laku orang terima dosis vaksin covid 19,netral
titikputih01,3/7/2022 13:36,pro fucks telaah komentar aman selamat sehat serta orang dekat,netral
Satlantascmh,3/7/2022 13:36,umroh ibadah haji silah vaksin covid 19 layan gratis,netral
Anto21543249,3/7/2022 13:35,sedia masuk lembur butuh vaksin covid 19 dosis silah kirim surat lamar kerja cv dokumen sertifikat dukung email subjek hse officer nkfvindanindicoid zainulexelmandiricom paling lambat 080322,netral
sukasomee,3/7/2022 13:34,langsung positif covid vaksin,negatif
Syamsud76579252,3/7/2022 13:30,vaksin baik vaksin cepat dapat,positif
ndarinda,3/7/2022 13:30,viral bocah laki tahan hadap suntik vaksin covid 19 jarum tembus kulit,netral
dieedylla,3/7/2022 13:27,vaksin demam vaksin mati kena covid sungguh celaka bedebah cis hmmm,negatif
ych_man,3/7/2022 13:26,capai vaksinasi covid 2 indonesia gt70apa kabar narasi ahli bicara kelompok kebal vaksin juru selamat hari ngomong tular alas virus misterius vaksin,negatif
KISSHotInfo,3/7/2022 13:25,amerika serikat mitra corvax unicef sumbang 323 juta dosis vaksin covid 19 selamat jiwa dukung target vaksinasi perintah indonesia,netral
papuakinioke,3/7/2022 13:25,kali vaksin laku jalan uji covid 19,netral
AinulTajul,3/7/2022 13:17,perit tenggorok posttonsillectomy apa covid 19 lengkap 3 dosis vaksin kacau,negatif
pewpewdor,3/7/2022 13:14,admin aku vaksin 2 kali kena covid keluarga gejala luka lumayan mending tes genose murah,netral
nujopuil,3/7/2022 13:14,prof imunologi kanada byram bridle salah protein lonjak vaksin covid sunti sebab rusa organ 06032021 17,negatif
headsink,3/7/2022 13:14,kena covid 19 nasib hilang bau karena vaksin efek demam alam covid 19,negatif
m00rbucks,3/7/2022 13:12,vaksin 10x kena covid ya iya,negatif
ulung_hans,3/7/2022 13:12,beku darah dan puja vaksin covid percaya,negatif
BuletinTV3,3/7/2022 13:09,covid 19 raja teliti vaksin mulut sembur hidung,netral
mediaindonesia,3/7/2022 13:04,kemenkes lapor warga terima vaksin covid 19 dosis lengkap tambah 163 ribu orang senin 73,netral
Knowyourenemyz,3/7/2022 12:58,sat foto sayang potong tweetnya didelete foto org2nya guk guk pakai masker tali ikat kepala vaksin orang ribut duduk covid selesai masyarakat golong rendah,negatif
lelywashere,3/7/2022 12:58,enak sih pergi tidak perlu antigen polymerase chain reaction kasi orang daerah kota tidak ingin vaksin kena covid duduk kota vaksin lengkap ya lumayan gejala,netral
penarikbeca,3/7/2022 12:57,sangka tahap soal vaksin kena covid kiri kanan orang moga lindung sentiasa,netral
voidotid,3/7/2022 12:57,14802 warga indonesia oleh dosis lengkap vaksin covid 19 senin 7 maret 1200 wib data dasar tambah orang suntik dosis 163040 orang,netral
YudhiMira,3/7/2022 12:57,vaksin booster efektivitas negatif omicron paham covid vaksin btw kutip artikel baru,positif
bramhuge,3/7/2022 12:53,kalimat umpat pandemi sampai dengan vaksin nth varian covid nama kena covid kerumun sehat bangkai atur kali hidup orang ngelunjak kali si manusia stress,negatif
bramhuge,3/7/2022 12:51,kalimat umpat pandemi sampai dengan vaksin kena covid kerumun sehat bangkai atur kali hidup orang ngelunjak kali si manusia stress,negatif
Norafizajaafar1,3/7/2022 12:48,lelah malaysia bencana teman sibuk politik vaksin covid balak masing2 bagus duniawi turun angkat tidak sedau allahu,negatif
ulung_hans,3/7/2022 12:42,ristianto orang negeri kompak demo tolak vaksin covid indonesia vaksin covid sembah jadi rutinitas suntik jalan sehat generasi bodoh,negatif
indrinayy,3/7/2022 12:42,kang 2 kali vaksin tutup infeksi covid kembali itu bagaimana cerita sungguh,negatif
frdrio,3/7/2022 12:37,anak bawah 5 dosis vaksin covid ya,netral
here_manz,3/7/2022 12:37,vaksinasi covid 19 gelar terminal petikemas bitung siang masyarakat kota bitung antusias tunggu gilir terima vaksinsaya dialog konferensi video wakil kabkota gelar acara,netral
donjasn,3/7/2022 12:36,hai sahabat rumah sakit universitas indonesia vaksin covid 19 yuktersedia vaksin dosis ke 1 2 3 booster sentra vaksinasi rumah sakit universitas indonesia yayasan wings peduli informasi lengkap kunjung website rumah sakit universitas indonesia tetap simpan yuk lindung diri keluarga cinta vaksin 19,netral
here_manz,3/7/2022 12:34,indonesia apresiasi kolaborasi global akses ya covid 19 alat akselerator tindak bentuk cepat kembang produksi akses adil tes awat vaksin covid 19 simpan semua orang,positif
whatimlookinfor,3/7/2022 12:27,aku kena covid aku 3 kali vaksin coba gaya hidup makan sehat,netral
anggaihzap,3/7/2022 12:23,asa bilang vaksin tahan hadap covid aneh,negatif
AnnLimat,3/7/2022 12:21,dikemaskini rujuk catat ppv pilih halaman sawang vaksin untuk anak,netral
kotakasablanka,3/7/2022 12:20,kabar gembira sentra vaksinbooster hadir 14 18 maret 28 maret 1 april 2022 senin jumat 0900 1300 wib itu kasablanka aula 3 lantai kota kasablanka segera ambil rang covid 19 vaksinasi,netral
capcipcupski,3/7/2022 12:20,atas bilang covid flu biasa untuk vaksin sampai dengan booster sih iya,negatif
ermitriaji,3/7/2022 12:17,jaring vaksin puas ya turun game covid jn jarsos,negatif
ermitriaji,3/7/2022 12:17,covid bahaya ya konstruksi tuju vaksin jarsos,negatif
scienceprank20,3/7/2022 12:15,aku bolak info saudara aku label berita palsu percaya perintah mikirnya masak sih perintah ngebohongi apa kemas sebab covid bkn vaksin poor sheeps,positif
Polresta_SMD,3/7/2022 12:11,polsek sungai kunjang gencar vaksinasi covid 19 khusus lansia kerah personil bhabinkamtibmas jemput lansia vaksin covid 19,positif
rsud_moewardi,3/7/2022 12:10,pasien antar rsud moewardi ikut vaksinasi covid 19 manfaat sempat ini buat rumah pakai batu batadi jendela kaca virus corona nyata vaksin tubuh ayo vaksin,positif
betmington,3/7/2022 12:09,khawatir bijak vaksin 2 kali bebas terbang polymerase chain reaction ppln tidak perlu karantina khawatir keluarga tim anti vaksin ofc bentar pst meninggoy bener damai covid,negatif
BatamPos,3/7/2022 12:08,tonton motogp mandalika tes covid 19 vaksin lengkap,netral
PDI_Perjuangan,3/7/2022 11:56,provinsi kalimantan barat 2 maret 2022 cakup vaksinasi manual covid 19 kapuas hulu persentase rata rata 7343 persen sedang vaksinasipertama 163829 orang 9085 persen vaksinkedua 100997 orang 5601 persen,netral
ShareInfoSaja,3/7/2022 11:55,halal vaksin covid 19 lewat tahap rekomendasi halal aman mui aceh viral aceh vaksin covid 19 covid 19 indonesia aceh sehat,positif
ShareInfoSaja,3/7/2022 11:55,guna vaksi covid 19 jamin halal mui ragu vaksin vaksinasi jaga sehat keluarga takut vaksin aceh viral aceh vaksin covid 19 covid 19 indonesia aceh sehat,positif
polresjembrana,3/7/2022 11:53,bhabinkamtibmas laksana aman pantau vaksin covid 19,netral
rs_persahabatan,3/7/2022 11:49,update vaksin covid 19 per 8 maret 2022 kemenkes ri vaksin covid 19 vaksinbooster vaksin covid anak stop covid 19 rsup sahabat,netral
DreamBoumKiss,3/7/2022 11:40,wujud okay orang kelompok tidak mau booster ambil vaksin karena sehat hindar paham bantu hindar covid tahap 5 paling sedikit buruk kesan tindak sejahtera umat manusia,negatif
DreamBoumKiss,3/7/2022 11:38,salah anti vaksin diam 1 vaksin2 salah guna data keluarga senang sejahtera sebar virus covid diam karena in tolak tidak mau check rtk polymerase chain reaction uji 4 sambung sebar vaksin agenda yahudi bla bla bla,negatif
KoboiBengek,3/7/2022 11:37,bulan sanur bulan ubud kawan daerah zona hijaunah covid bal naek jkt turun pulang nya anak bini vaksin sang,netral
ryshasoydere,3/7/2022 11:34,baca surat baca tweet baca dapat saintis bidang virologi biologi molekular nilai sendri paham kaji jadi hujah konteks tambah ragu vaksin yakin vaksin vaksin selamat kesan ringan komplikasi covid,negatif
DreamBoumKiss,3/7/2022 11:34,tuju bebal vaksin sehat walafiat ambil vaksin jenis keras kepala tidak mau ambil langsung klaim vaksin palsu covid demam utama anti vaksin masuk icu covid la,negatif
miseyzzl,3/7/2022 11:33,kaji kini pulih malaysia gt90 kesan jangkit covid 19 vaksin primer dosis booster banding dosis lengkap pulih menang sama lindung diri lindung semua keluarga malaysia jabat terang,netral
bamkuchem,3/7/2022 11:28,habis kena covid vaksinbooster undur sih,netral
ViralinId,3/7/2022 11:28,menteri koordinator bidang maritim investasi menko marves luhut binsar pandjaitan tentu laku tumpang jalur darat laut udara tentu laku orang terima dosis vaksin covid 19,netral
